Word,Count
*,58
the,36
,23
choose,20
this,20
in,20
To,20
template,20
change,20
and,17
test,15
of,14
open,11
Tools,11
Templates,11
|,11
editor,11
license,9
Properties,9
\header,\,9
i,9
Headers,9
License,9
\file,\,9
Project,9
\method,\,7
Admin,7
Test,7
class,7
default,6
is,6
remove,6
code,6
review,6
fail,6
\fail("\The\,6
to,6
generated,6
case,6
se,6
\prototype."\);\,6
a,6
TODO,6
call,6
objekat,5
na,3
za,3
fitnes,3
@author,3
server,3
da,3
line,2
isto,2
id,2
salje,2
sto,2
metode,2
koji,2
moze,2
args,2
klijent,2
klijentu,2
iz,2
command,2
@param,2
nit,2
bude,2
klijenta,2
trainee,2
mcshu,2
arguments,2
\template,\,2
excepitoni,1
objekte,1
novi,1
objekt,1
svakog,1
taj,1
komunikacija,1
id),1
od,1
(referenca,1
Milos,1
ViewController.getInstance().getAllFitnessTests(comboBoxLeftChosenFitnessTest);,1
ubaci,1
ima,1
komunikaciju,1
nasledjuje,1
ga,1
sluzi,1
parametar,1
serijalizaciju,1
domenske,1
fitTesta,1
zove,1
formi,1
viewControlera,1
koja,1
PC,1
sve,1
insturktor,1
jedna,1
slicno,1
bojekat,1
update,1
punimo,1
pokrece,1
saljemo,1
Sluzi,1
\sta,\,1
radim,1
getPassword,1
koje,1
zovu,1
preko,1
mu,1
hvataju,1
setPassword,1
setAdminID,1
toString,1
razmak,1
vraca,1
\rezultat,\,1
te,1
servera,1
pravi,1
serveru,1
pravim,1
kroz,1
uzme,1
hoce,1
getUsername,1
poziva,1
transfer,1
konektuje,1
getAdminID,1
serverkomunikacija,1
id-a,1
setUsername,1
klasu,1
admin,1
klasa,1
insert,1
okvira,1
instruktor,1
forma,1
bilo,1
klase,1
\prazan,\,1
